Country;ISO3;Year;Rank;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Samoa;WSM;2022;104th;64,8;3,9;5,1;4,8;7;3,6;10;4,4;4,9;3,5;4,9;3,2;9,5
Maldives;MDV;2022;105th;64,5;5,2;8,1;3,7;5,5;2,7;5,3;7,2;5,1;7,2;5,5;3,4;5,6
Moldova;MDA;2022;105th;64,5;4,8;7,8;6,1;5,4;3,9;7,8;5,2;4,9;4,2;5,7;2,8;5,9
Guyana;GUY;2022;107th;64,2;6,8;5,1;6,2;4;4,4;8,1;4,5;6,4;3,1;6,1;3,3;6,2
Ghana;GHA;2022;108th;63;4,3;5,9;3,3;5,3;6,3;7,1;3,2;7,1;4,1;7,2;3,8;5,4
Namibia;NAM;2022;109th;62,9;4,5;3,5;4,3;7,1;7,3;6,1;3,1;7,5;2,3;8,4;3,9;4,9
Dominican Republic;#N/D;2022;110th;62,8;5,8;6,2;4,6;4,8;4,8;6,7;5,7;6,7;4,4;6,7;2,5;3,9
North Macedonia;MKD;2022;111th;62,6;4,4;7,3;5,7;6,2;4,4;6,3;4,8;4,5;2,7;4,5;6,6;5,2
Jamaica;JAM;2022;112th;62,1;6,7;3,7;1,9;6,6;5,4;9,1;3,7;7,3;5,3;5,1;2,5;4,8
Vietnam;VNM;2022;115th;60,9;3,8;6,9;5,1;3,6;3,5;5;8,3;4;7,8;4,7;4,2;4
Suriname;SUR;2022;116th;60,8;3,7;5,8;6,7;7,7;5;5,6;3,5;4,9;4,3;5,8;3,1;4,7
Cuba;#N/D;2022;117th;60,1;3,7;7;2,5;5,1;4,1;5,6;7,5;4,8;6,6;5,8;2,7;4,7
Kazakhstan;KAZ;2022;118th;59,5;3,7;7,6;7,7;5;2,9;4,3;8,1;4,3;6,8;4,4;2;2,7
Montenegro;MNE;2022;119th;57,9;4,3;6,5;9,2;5,5;2,3;4,9;3,8;4,1;3,2;4,4;3,1;6,6
Cyprus;#N/D;2022;120th;56,9;3,2;7,9;4,8;5,3;4,8;3,4;3,7;3,6;2,7;3,7;5,6;8,2
Malaysia;MYS;2022;122nd;56,4;5,1;6,8;5,1;3,2;4;4,4;6,4;4;7;5;3,1;2,3
Botswana;BWA;2022;123rd;56,1;3,1;3,3;4;6,1;6,9;4,8;2,5;6,6;4,9;7,9;3,4;2,6
Greece;GRC;2022;124th;55,8;3,6;4,1;4,3;5,7;2,9;4,1;5,8;4,3;3,6;4,4;5,6;7,4
Grenada;GRD;2022;126th;54,3;4,5;5,6;3,6;6,2;4,6;7,4;4;4,1;1,8;4,4;1,9;6,2
Seychelles;SYC;2022;127th;54,2;5,1;6;4;4,1;5,6;5;4;2,6;4,3;4,5;2,2;6,8
Trinidad and Tobago;TTO;2022;129th;52,4;7;5,6;3,3;4,1;4,4;6,9;3;4,6;3,4;4;2,8;3,3
Kuwait;KWT;2022;130th;52,2;2,7;7,5;4,4;2,8;4,5;2,7;7,1;3;7,2;4,7;2,3;3,3
Mongolia;MNG;2022;131st;51,6;2,6;5,5;2,4;5;5,1;4,3;3,8;4,9;4,1;5;2,6;6,3
Hungary;HUN;2022;133rd;50,8;2,1;5,3;3,6;4,7;2,6;4;6,5;3,1;5,8;3,8;5,7;3,6
Romania;ROU;2022;133rd;50,8;2,2;5,7;5,7;4;3,9;5,3;4,7;5,3;3,8;4,8;2;3,4
Oman;OMN;2022;136th;49,5;2,7;6,6;2,6;4,7;4;1,8;6,9;3,4;6,8;4,3;1,9;3,8
Croatia;#N/D;2022;137th;49,3;2,3;4,4;4,6;5,4;2,7;5,8;2,4;3,4;2,3;5,1;6,7;4,2
Panama;PAN;2022;139th;47,5;4,9;2,2;5,9;3,2;6,1;3,9;3,2;5,1;4,1;4,8;2,3;1,8
United States;USA;2022;140th;46,6;5;7,3;6,8;1,8;3,7;1,8;4,5;2,5;4,5;5,5;2,5;0,7
Spain;ESP;2022;142nd;44,4;3,1;6,9;7;4,8;3;1,1;6,6;3,2;1,5;3,6;2,2;1,4
Italy;ITA;2022;143rd;43,4;4,8;4,9;4;5,1;2,6;2,3;2,3;3,6;0,8;4,9;4,6;3,5
Chile;#N/D;2022;144th;43,2;3,9;2,2;3,5;3,7;5;3,3;4,7;4,2;3,8;6,2;1,8;0,9
Latvia;LVA;2022;145th;42,8;2,3;4,3;8;3,4;3,6;5,5;2,1;3,6;2,1;3,5;2;2,4
Israel;ISR;2022;146th;42,6;2,5;8;6,8;1,1;3,4;2,4;3;1,7;2,9;5,1;1,2;4,5
Qatar;QAT;2022;147th;42,3;1,1;5;3,1;1,5;5;1,2;6,3;2,6;5,8;3,1;1,6;6
Poland;POL;2022;148th;42,2;2,1;4,2;5,3;3,3;2,2;4,6;4;3,3;4,1;4,1;2,5;2,5
Costa Rica;#N/D;2022;149th;41;3,2;3,8;2,7;5,2;4,8;3,2;1,2;4,4;1,1;3,2;4,4;3,8
United Kingdom;GBR;2022;150th;40,6;3,2;5,8;6,1;4,7;3,2;2,4;3,3;2,3;2,4;3,9;1,9;1,4
Czechia;#N/D;2022;151st;39,9;2,3;5,3;4,3;3,9;1,9;3,4;4,2;3,2;2;3,5;3,5;2,4
United Arab Emirates;#N/D;2022;152nd;39,1;2,6;3,6;2,5;1,9;3;2,2;6,4;2,4;7,1;3,9;1,7;1,8
Lithuania;LTU;2022;153rd;38,6;2,5;3;3;3,2;4;5,3;1,3;4;2;3,9;1,9;4,5
