"","murdock_name","land_area","atlantic_number15","atlantic_number16","atlantic_number17","atlantic_number18","indian_number15","indian_number16","indian_number17","indian_number18","atlantic_all_years","indian_all_years"
"256","GULA",36228.8954680161,0,0,0,34,0,0,0,0,34,0
"257","GULE",11178.422465779,0,0,0,0,0,0,0,0,0,0
"258","GUMUZ",21260.9825215328,0,0,0,0,0,0,0,0,0,0
"259","GUN",2755.92073527706,41,69693,0,0,0,0,0,0,69734,0
"260","GURAGE",11926.4369205213,0,0,0,0,0,0,0,0,0,0
"261","GURENSI",6674.05390201575,0,0,0,0,0,0,0,0,0,0
"262","GURMA",55168.5732502129,0,0,156630,1020,0,0,0,0,157650,0
"263","GURO",18632.9025186893,0,0,0,0,0,0,0,0,0,0
"264","GUSII",8817.91545654931,0,0,0,0,0,0,0,0,0,0
"265","GWANDARA",6733.82005563942,0,0,0,0,0,0,0,0,0,0
"266","GYRIAMA",6168.82063780824,0,0,0,0,0,0,0,0,0,0
"267","HA",32054.4310293882,0,0,0,0,184,92,198,309,0,783
"268","HABBANIA",93229.1769547116,0,0,0,0,0,0,0,0,0,0
"269","HADENDOWA",99730.0090510364,0,0,0,0,0,0,0,0,0,0
"270","HADIMU",1592.3322722585,0,0,0,0,10085,5042,10827,16935,0,42889
"271","HAMAMA",41691.8490071529,0,0,0,0,0,0,0,0,0,0
"272","HAMAR",42804.2872189543,0,0,0,0,0,0,0,0,0,0
"273","HAMYAN",109327.803774143,0,0,0,0,0,0,0,0,0,0
"274","HARARI",2617.94848644206,0,0,0,0,0,0,0,0,0,0
"275","HASANIA",12447.6683802629,0,0,0,0,0,0,0,0,0,0
"276","HAUSA",134902.35453029,0,0,106241,24307,0,0,0,0,130548,0
"277","HAWIYA",110700.795841726,0,0,0,0,0,0,0,0,0,0
"278","HAYA",13708.1543350028,0,0,0,0,0,0,0,0,0,0
"279","HEHE",33651.6288081005,0,0,0,0,941,470,1010,1580,0,4001
"280","HEIKUM",60903.4974903215,0,0,0,0,0,0,0,0,0,0
"281","HEMAT",43430.3591168027,0,0,0,0,0,0,0,0,0,0
"282","HERERO",268671.823226377,0,0,0,0,0,0,0,0,0,0
"283","HIECHWARE",95816.4148952089,0,0,0,0,0,0,0,0,0,0
"284","HLENGWE",131671.723561255,0,0,0,0,0,0,0,0,0,0
"285","HOLO",11802.3299752793,0,0,0,197,0,0,0,0,197,0
"286","HOLOHOLO",7937.03857172046,0,0,0,0,61,31,66,103,0,261
"287","HUNDE",18283.6130434182,0,0,0,0,0,0,0,0,0,0
"288","HURUTSHE",36090.6754646563,0,0,0,0,0,0,0,0,0,0
"289","IBIBIO",8321.92716233308,0,0,27638,21170,0,0,0,0,48808,0
"290","IBO",35883.7775455732,16,39141,253253,108752,0,0,0,0,401162,0
"291","IDIO",1357.11564094504,0,0,0,0,0,0,0,0,0,0
"292","IDOMA",8039.78570353452,0,0,0,0,0,0,0,0,0,0
"293","IFE",5414.01345793061,0,0,0,36,0,0,0,0,36,0
"294","IFORA",90489.1109600215,0,0,0,0,0,0,0,0,0,0
"295","IGALA",9880.50948535981,0,0,0,0,0,0,0,0,0,0
"296","IGBIRA",6377.0543143539,0,0,0,631,0,0,0,0,631,0
"297","IJAW",15705.4217143919,41,1243,20582,5572,0,0,0,0,27438,0
"298","IJEBU",7417.97580311494,0,0,0,0,0,0,0,0,0,0
"299","IKASA",4915.52885831079,0,0,0,0,0,0,0,0,0,0
"300","ILA",28946.3204816566,0,0,0,0,0,0,0,0,0,0
"301","IMRAGEN",44287.2723131036,0,0,0,0,0,0,0,0,0,0
"302","INGASSANA",7308.19077331339,0,0,0,0,0,0,0,0,0,0
"303","IRAMBA",9766.59412343779,0,0,0,0,0,0,0,0,0,0
"304","IRAQW",9635.40401488002,0,0,0,0,0,0,0,0,0,0
"305","ISHAAK",117806.95136257,0,0,0,0,0,0,0,0,0,0
"306","ISOKO",4750.684924802,41,0,196,108,0,0,0,0,345,0
"307","ITSEKIRI",4417.567649806,0,0,0,0,0,0,0,0,0,0
"308","ITTU",35799.385590426,0,0,0,0,3,2,3,5,0,13
"309","IWA",13112.3214836057,0,0,0,0,0,0,0,0,0,0
"310","IYALA",3041.44117338034,0,0,0,18,0,0,0,0,18,0
"311","JALO",15383.2777532139,0,0,0,0,0,0,0,0,0,0
"312","JANJERO",4094.03672798991,0,0,0,0,0,0,0,0,0,0
"313","JARAWA",5891.5600033883,0,0,0,18,0,0,0,0,18,0
"314","JEBALA",16726.9810880717,0,0,0,0,0,0,0,0,0,0
"315","JEN",1475.87688860827,0,0,0,72,0,0,0,0,72,0
"316","JERAWA, CHAWAI (SW)",2752.61318225076,0,0,196,0,0,0,0,0,196,0
"317","JERBA",515.611244297505,0,0,0,0,0,0,0,0,0,0
"318","JERID",14842.5294501396,0,0,0,0,0,0,0,0,0,0
"319","JIBU",4561.60691557625,0,0,0,0,0,0,0,0,0,0
"320","JIE",10853.6531155617,0,0,0,0,0,0,0,0,0,0
"321","JOFRA",54759.019788763,0,0,0,0,0,0,0,0,0,0
"322","JUKUN",22423.2335059737,0,0,0,162,0,0,0,0,162,0
"323","JUR",8155.4196849827,0,0,0,0,0,0,0,0,0,0
"324","KABABISH",209995.939765405,0,0,0,0,0,0,0,0,0,0
"325","KABRE",5798.27788613657,0,0,0,406,0,0,0,0,406,0
"326","KABYLE",9897.43536195605,0,0,0,0,0,0,0,0,0,0
"327","KADARA",5406.21732266682,0,0,196,0,0,0,0,0,196,0
"328","KAFA",13491.4964882776,0,0,0,0,0,0,0,0,0,0
"329","KAGORO",15552.2307630712,0,0,0,0,0,0,0,0,0,0
"330","KAKA",14362.7831474175,0,0,0,2259,0,0,0,0,2259,0
"331","KALAI",10865.8418808938,0,0,0,6386,0,0,0,0,6386,0
"332","KAM",1537.00969371134,0,0,0,0,0,0,0,0,0,0
"333","KAMBA",45157.022618811,0,0,0,553,491,245,527,824,553,2087
"334","KAMBATA",9605.70978742727,0,0,0,0,0,0,0,0,0,0
"335","KAMBERI",15553.2123150373,0,0,0,270,0,0,0,0,270,0
"336","KAMIR",7917.98548286308,0,0,0,0,0,0,0,0,0,0
"337","KAMUKU",10223.2101015842,0,0,0,18,0,0,0,0,18,0
"338","KANEMBU",26476.2574369951,0,0,0,28,0,0,0,0,28,0
"339","KANURI",48247.0465698938,0,0,392,1803,0,0,0,0,2195,0
"340","KAONDE",87488.6261310329,0,0,0,2814,0,0,0,0,2814,0
"341","KAPSIKI",2984.98472417689,0,0,0,0,0,0,0,0,0,0
"342","KARA",46872.0011258895,0,0,0,0,61,31,66,103,0,261
"343","KARABORO",2980.17059301007,0,0,0,0,0,0,0,0,0,0
"344","KARAMOJONG",15051.8611981466,0,0,0,0,0,0,0,0,0,0
"345","KARANGA",63988.9447380714,0,0,553,0,0,0,0,0,553,0
"346","KARE",10733.256292178,0,0,0,0,0,0,0,0,0,0
"347","KAREKARE",4264.2939989026,0,0,0,36,0,0,0,0,36,0
"348","KASONKE",22069.2771409363,0,0,0,106,0,0,0,0,106,0
"349","KATAB",5502.42998267274,0,0,196,90,0,0,0,0,286,0
"350","KATLA",1653.21499933127,0,0,0,0,0,0,0,0,0,0
"351","KAWAR",104193.04761631,0,0,0,0,0,0,0,0,0,0
"352","KEBU",1602.26431141491,0,0,0,0,0,0,0,0,0,0
"353","KELA",41957.7518306319,0,0,0,0,0,0,0,0,0,0
"354","KEMANT",5355.6417517959,0,0,0,0,0,0,0,0,0,0
"355","KENGA",11843.8002446528,0,0,0,0,0,0,0,0,0,0
"356","KENTU",2576.08132791655,0,0,0,0,0,0,0,0,0,0
"357","KEPERE",9003.41578372706,0,0,0,0,0,0,0,0,0,0
"358","KERARISH",75710.385485687,0,0,0,0,0,0,0,0,0,0
"359","KEREWE",720.668947069568,0,0,0,0,0,0,0,0,0,0
"360","KEYU",3472.18397180326,0,0,0,0,0,0,0,0,0,0
"361","KGALAGADI",128539.589172022,0,0,0,0,0,0,0,0,0,0
"362","KGATLA",33877.979889256,0,0,0,0,0,0,0,0,0,0
"363","KHARGA",67824.6191061917,0,0,0,0,0,0,0,0,0,0
"364","KIKUYU",15321.1008336093,0,0,0,0,41,20,44,69,0,174
