TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
KARANGA,"343","-20.28630000000","30.50810000000",Zimbabwe,ZWE,"553","0"
KARE,"344","5.04133821818","25.94170000000",Democratic Republic of the Congo,COD,"0","0"
KAREKARE,"345","11.67640000000","11.19120000000",Nigeria,NGA,"36","0"
KASONKE,"346","14.31500000000","-10.65570000000",Mali,MLI,"106","0"
KATAB,"347","9.76237578565","8.31656983567",Nigeria,NGA,"286","0"
KATLA,"348","11.71540000000","29.46560000000",Sudan,SDN,"0","0"
KAWAR,"349","18.20520000000","12.81630000000",Niger,NER,"0","0"
KEBU,"350","7.74148244117","0.84064514854",Togo,TGO,"0","0"
KELA,"351","-1.98036000000","23.70880000000",Democratic Republic of the Congo,COD,"0","0"
KEMANT,"352","12.52060000000","37.22380000000",Ethiopia,ETH,"0","0"
KENGA,"353","12.13860000000","18.45820000000",Chad,TCD,"0","0"
KENTU,"354","7.29892330922","10.51510000000",Nigeria,NGA,"0","0"
KEPERE,"355","5.33492717019","13.32880000000",Cameroon,CMR,"0","0"
KERARISH,"356","20.35150000000","28.98260000000",Sudan,SDN,"0","0"
KEREWE,"357","-2.08103000000","33.47330000000",United Republic of Tanzania,TZA,"0","0"
KEYU,"358","0.56121242727","35.73880000000",Kenya,KEN,"0","0"
KGALAGADI,"359","-24.10610000000","22.70940000000",South Africa,ZAF,"0","0"
KGATLA,"360","-24.53320000000","27.36730000000",South Africa,ZAF,"0","0"
KHARGA,"361","24.18860000000","30.48220000000",Egypt,EGY,"0","0"
KIKUYU,"362","-0.84720000000","36.99360000000",Kenya,KEN,"0","174"
KILINGA,"363","9.53958627681","2.04774060296",Benin,BEN,"145","0"
KIMBU,"364","-7.18343000000","33.48860000000",United Republic of Tanzania,TZA,"0","174"
KIMBUNDU,"365","-8.81355000000","15.48470000000",Angola,AGO,"68033","0"
KIMR,"366","14.65490000000","23.43530000000",Sudan,SDN,"0","0"
KINDIGA,"367","-3.61617000000","34.77310000000",United Republic of Tanzania,TZA,"0","0"
KINGA,"368","-9.54974000000","34.70420000000",United Republic of Tanzania,TZA,"0","2087"
KIPSIGI,"369","-0.43858100000","35.23050000000",Kenya,KEN,"0","0"
KISAMA,"370","-9.80000000000","13.70080000000",Angola,AGO,"6031","0"
KISI,"371","-9.83900000000","34.50780000000",United Republic of Tanzania,TZA,"585","348"
KISSI,"372","8.88535055626","-10.05300000000",Sierra Leone,SLE,"62634","0"
KITA,"373","13.24330000000","-8.92973000000",Mali,MLI,"0","0"
KOALIB,"374","11.27660000000","30.76750000000",Sudan,SDN,"0","0"
KOBA,"375","-18.89540000000","23.51700000000",Namibia,NAM,"0","0"
KOKO,"376","4.07746058894","10.63600000000",Cameroon,CMR,"3153","0"
KOM,"377","6.37133062816","10.31200000000",Cameroon,CMR,"0","0"
KOMA,"378","9.35993053993","34.21410000000",Ethiopia,ETH,"0","0"
KOMONO,"379","9.77618026767","-4.14357000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
KONA,"380","10.37030000000","12.64760000000",Nigeria,NGA,"0","0"
KONGO,"381","-6.62398000000","14.61800000000",Democratic Republic of the Congo,COD,"3838953","0"
KONJO,"382","-0.17941500000","29.38610000000",Uganda,UGA,"0","0"
KONKOMBA,"383","9.84176270225","0.56801523267",Togo,TGO,"138291","0"
KONO,"384","8.74069306158","-10.76200000000",Sierra Leone,SLE,"400","0"
KONONGO,"385","-6.44118000000","32.01160000000",United Republic of Tanzania,TZA,"0","86"
KONSO,"386","5.58498574960","37.58980000000",Ethiopia,ETH,"0","0"
KONYANKE,"387","8.68836860435","-8.23764000000",Guinea,GIN,"0","0"
KORANA,"388","-28.67450000000","23.81260000000",South Africa,ZAF,"0","0"
KORANKO,"389","9.38524941941","-10.48930000000",Sierra Leone,SLE,"3176","0"
KOREKORE,"390","-17.11500000000","29.51160000000",Zimbabwe,ZWE,"0","0"
KORO,"391","9.45630699547","7.52936535171",Nigeria,NGA,"72","0"
KOROCA,"392","-15.58240000000","12.41020000000",Angola,AGO,"0","0"
KOSSI,"393","4.82866620340","9.79019286614",Cameroon,CMR,"282","0"
KOTA,"394","0.37376039923","14.44480000000",Gabon,GAB,"3100","0"
KOTOKO,"395","11.69670000000","15.15300000000",Chad,TCD,"0","0"
KOTOPO,"396","8.21211804925","12.53530000000",Nigeria,NGA,"0","0"
KOYAM,"397","13.13830000000","12.85300000000",Nigeria,NGA,"0","0"
KPE,"398","4.22652850695","9.34544138523",Cameroon,CMR,"188","0"
KPELLE,"399","7.43424570227","-9.11154000000",Liberia,LBR,"675","0"
KRACHI,"400","8.06976564089","0.11941856395",Ghana,GHA,"0","0"
KRAN,"401","5.98986146850","-8.03530000000",Liberia,LBR,"0","0"
KREDA,"402","14.41030000000","17.35230000000",Chad,TCD,"0","0"
KREISH,"403","8.80220308884","24.87020000000",South Sudan,SSD,"0","0"
KRU,"404","5.16894220083","-8.67231000000",Liberia,LBR,"114","0"
KUBA,"405","-4.69093000000","21.88100000000",Democratic Republic of the Congo,COD,"0","0"
KUFRA,"406","24.32290000000","22.29160000000",Libya,LBY,"0","0"
KUKU,"407","3.92920368509","31.53910000000",Uganda,UGA,"0","0"
KUKURUKU,"408","7.02752615497","6.37802975451",Nigeria,NGA,"541","0"
KULANGO,"409","8.68432815758","-3.30593000000",Ghana,GHA,"0","0"
KUMU,"410","-0.39263900000","26.82040000000",Democratic Republic of the Congo,COD,"0","0"
KUN,"411","10.34980000000","16.14730000000",Chad,TCD,"0","0"
KUNAMA,"412","15.14730000000","37.35840000000",Eritrea,ERI,"0","0"
KUNDA,"413","-15.39980000000","31.95180000000",Zimbabwe,ZWE,"0","0"
KUNDU,"414","4.84707143258","9.14760573899",Cameroon,CMR,"1224","0"
KUNG,"415","-20.12820000000","20.10370000000",Namibia,NAM,"0","0"
KUNTA,"416","20.48780000000","-0.86221100000",Algeria,DZA,"0","0"
KUNYI,"417","-3.53615000000","12.77390000000",Gabon,GAB,"2848","0"
"KURAMA, GURE (NE)","418","10.39170000000","8.49950471069",Nigeria,NGA,"0","0"
KURFEI,"419","14.13340000000","3.86084134595",Niger,NER,"0","0"
KUTSHU,"420","-3.17508000000","20.90450000000",Democratic Republic of the Congo,COD,"118","0"
KWANGARE,"421","-17.17420000000","19.07730000000",Namibia,NAM,"0","0"
KWENA,"422","-24.23160000000","25.44190000000",Botswana,BWA,"0","0"
KWERE,"423","-6.30313000000","38.39980000000",United Republic of Tanzania,TZA,"0","522"
KWESE,"424","-5.96732000000","18.60670000000",Democratic Republic of the Congo,COD,"235","0"
LABWOR,"425","2.66672522586","33.86850000000",Uganda,UGA,"0","0"
LAGUAT,"426","33.81820000000","3.07953158495",Algeria,DZA,"0","0"
LAKA (ADAMAWA,"427","8.16555122260","15.78320000000",Chad,TCD,"0","0"
LAKA (NDEBELE),"428","-24.22260000000","28.63530000000",South Africa,ZAF,"0","0"
LALA,"429","-13.58800000000","30.27700000000",Zambia,ZMB,"1490","0"
LAMBA,"430","-12.75200000000","27.90900000000",Zambia,ZMB,"563","0"
LAMBYA,"431","-9.60184000000","33.07580000000",Zambia,ZMB,"0","0"
LANDUMA,"432","10.90450000000","-14.27340000000",Guinea,GIN,"423","0"
LANGO,"433","2.12347055595","32.98660000000",Uganda,UGA,"0","0"
LELE,"434","-5.07541000000","20.52090000000",Democratic Republic of the Congo,COD,"0","0"
